Course,address,city,state,zip,latitude,longitude
Tanglewood,290 Tanglewood Circle,Pottsboro,TX,75076,33.81881,-96.694649
Sherrill Park C1,2001 E Lookout Drive,Richardson,TX,75082,32.989645,-96.688988
Sherrill Park C2,2001 E Lookout Drive,Richardson,TX,75082,32.989645,-96.688988
Pecan Hallow,4501 14th St,Plano,TX,75074,33.013117,-96.649275
Bridges Gunter,2400 Fred Couples Drive,Gunter,TX,75058,33.430604,-96.704313
Ridgeview,2701 Ridgeview Drive,Plano,TX,75025,33.111827,-96.744124
Buffalo Creek,624 Country Club Drive,Rockwall,TX,75032,32.867926,-96.459344
Plantation,4701 Plantation Lane,Frisco,TX,75035,33.116317,-96.781237
Firewheel (Masters),1535 E Brand Road,Garland,TX,75044,32.967677,-96.620736
Firewheel (Tradition),1535 E Brand Road,Garland,TX,75044,32.967677,-96.620736
Firewheel (Champion),1535 E Brand Road,Garland,TX,75044,32.967677,-96.620736
Firewheel (Masters+Tradition),1535 E Brand Road,Garland,TX,75044,32.967677,-96.620736
Firewheel (Champion+Masters),1535 E Brand Road,Garland,TX,75044,32.967677,-96.620736
The Patriot Golf Club,5790 N Patriot Dr,Owasso,OK,74055,36.237778,-95.775
