Course,PAR,Front,Back,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,,,,Notes
Tanglewood,72,36,36,4,4,5,3,4,5,3,4,4,4,4,3,4,3,4,5,4,5,,,,DNF = 10 Strokes for purposes of HC tracking
Sherrill Park C1,72,36,36,5,4,3,4,5,3,4,4,4,4,5,4,3,5,3,4,4,4,,,,10 Strokes = Picked up ball after 10
Sherrill Park C2,70,35,35,4,4,4,3,5,4,4,3,4,4,4,3,4,4,5,3,4,4,,,,12/10 start of Gol Sim membership & changing swings up. 
Pecan Hallow,71,36,35,4,4,5,4,3,4,4,3,5,4,3,4,4,3,4,4,5,4,,,,
Bridges Gunter,72,36,36,4,3,5,4,5,4,4,3,4,4,4,4,4,5,3,4,3,5,,,,
Ridgeview,72,36,36,4,5,4,4,3,5,3,4,4,5,4,3,4,4,4,5,3,4,,,,
Buffalo Creek,71,35,36,4,4,5,3,4,4,4,3,4,4,4,3,4,5,4,5,3,4,,,,
Plantation,72,36,36,4,4,4,5,3,4,3,5,4,5,4,4,3,4,4,5,3,4,,,,
Firewheel (Masters),37,37,0,5,4,3,4,4,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Firewheel (Tradition),36,36,0,4,3,4,4,3,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Firewheel (Champion),36,36,0,5,4,4,4,3,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Firewheel (Masters+Tradition),73,37,36,5,4,3,4,4,3,4,5,5,4,3,4,4,3,4,5,5,4,,,,
Firewheel (Champion+Masters),72,36,36,5,4,4,4,3,4,3,4,5,4,3,4,4,3,4,5,5,4,,,,
